X,Y,OBJECTID,NAME,LONGITUDE,LATITUDE
599964.658699999563396,4790657.1611,63,Lakeland Centre,-79.76832327735099,43.26209559259145
600464.860299999825656,4785725.41599999927,64,Stoney Creek Recreation Centre,-79.76306024563874,43.21763050596098
587961.239299999549985,4790818.36419999972,65,David Braley Athletic Centre,-79.91616538953649,43.26504364332839
593724.1524,4790007.267699999735,66,Norman Pinky Lewis Recreation Centre,-79.8453080697163,43.2570466916642
594979.644899999722838,4789247.2365,67,Bernie Morelli Recreation Centre,-79.82997442217562,43.2500471102715
601237.299599999561906,4783243.1212,68,F.h. Sherman Recreation And Learning Centre,-79.75400703666024,43.19518010885993
591154.352199999616,4783453.8989,1,Ymca - Les Chater Family,-79.87804501322543,43.19836189255679
591100.7204,4789859.3746,2,Main Hess Senior Centre,-79.87764732839432,43.256036876963414
580713.293800000101328,4785188.6717,3,Ancaster Aquatic Centre,-80.00628298385762,43.21516879926916
580587.117499999701977,4785509.65799999982,4,Ancaster Rotary Centre,-80.0077893378293,43.21807224775518
592385.4051,4790100.5006,5,Beasley Community Centre,-79.86178273189563,43.25805134334364
592435.834699999541044,4791438.3604,6,Bennetto Community Centre,-79.86093697441686,43.27008976581619
572086.574300000444055,4794366.5996,7,Beverly Community Centre,-80.1112781832198,43.29867640239487
570839.010099999606609,4794552.8823,8,Beverly Township Hall,-80.12663304435652,43.30047207385531
597286.700199999846518,4775168.6146,9,Binbrook Memorial Hall,-79.80403784665256,43.12300553296204
604648.330400000326335,4785840.7015,10,H.g. Brewster Pool,-79.71154333898465,43.21809991331717
582494.916199999861419,4805381.78099999949,11,Carlisle Community Centre,-79.98131996136647,43.3967784957488
582485.8136,4805066.709599999711,12,Carlisle Memorial Hall,-79.98147985959972,43.3939428969837
582497.251400000415742,4777461.754499999806,13,Carluke Hall,-79.98547541389685,43.14540747545268
592604.455400000326335,4789158.452099999413,14,Central Memorial Recreation Centre,-79.85924282307775,43.249543290799735
600848.507399999536574,4785700.5006,15,"Ada Bland ""Club 60"" Senior Citizen Centre",-79.75834235741497,43.21735503732258
588215.235399999655783,4790079.725899999961,16,Dalewood Recreation Centre,-79.91315458049925,43.25836394938631
584114.492399999872,4790817.424399999902,17,Dundas Community Pool,-79.96355632580912,43.26547442719099
584108.844899999909,4791028.904799999669,18,Dundas Lions Memorial Community Centre,-79.96359359748914,43.267379056336324
593483.597500000149012,4787714.351199999452,19,Eastmount Community Centre,-79.84866004372734,43.23643371677038
605211.604299999773502,4785897.9121,20,Fruitland Lions Community Hall,-79.7045989964928,43.218536638069104
594454.537899999879301,4775908.5831,21,Glanbrook Arena & Auditorium,-79.83872096757962,43.13002607003663
582085.813199999742,4792055.639299999923,22,Greensville Hall,-79.98836483627639,43.27684613337756
595892.555100000463426,4788584.101199999452,23,Ywca - Hamilton Family - Ottawa St,-79.81884626364793,43.24396148093369
592322.094899999909,4786741.528,24,Hill Park Recreation Centre,-79.86312510821163,43.22781850541992
595072.357099999673665,4785994.0173,25,Huntington Park Recreation Centre,-79.82939338728264,43.220747228388596
594957.597900000400841,4789174.0756,26,Jimmy Thompson Pool,-79.83025856294296,43.24939123299326
596543.5488,4789103.4677,27,East Kiwanis Boys & Girls Club,-79.81073838642523,43.24855414547234
606302.4824,4785353.3594,28,Kiwanis Community Centre,-79.69127601122061,43.213481500939245
581243.949699999764562,4785535.278699999675,29,Ancaster Lion's Outdoor Pool,-79.99969967261036,43.21823249987303
569334.890100000426173,4786330.425699999556,30,Lynden Community Centre,-80.14621041535916,43.22657985948866
584353.1402000002563,4798559.825699999928,31,Millgrove Community Centre,-79.95942802610175,43.33515359398153
588497.101599999703467,4779182.8243,32,Mount Hope Community Hall/youth Centre,-79.91142878213512,43.16022469219231
593910.3459,4790887.66059999913,33,Eva Rothwell Resource Centre,-79.84286448991884,43.26494955083168
